,Coefficient
area,493652.1756757652
bathrooms,474321.15416259377
airconditioning_yes,417917.1870382374
stories,392724.23973556195
prefarea_yes,284340.68746857805
hotwaterheating_yes,242945.01119699597
parking,201957.0352024465
guestroom_yes,180560.17112571714
mainroad_yes,172665.29131015926
basement_yes,157180.26048264702
bedrooms,87226.87525749719
furnishingstatus_semi-furnished,-23357.789673368727
furnishingstatus_unfurnished,-211752.96566288883
