step,in_sample_MSE,cv_MSE,RSE,R2,is_best,is_one_se
0,124667119792.4615,124742050592.74495,353152.9507098865,-2.220446049250313e-16,False,False
1,73645940735.13448,73710129081.80936,271459.30602584116,0.40925930704314073,False,False
2,47969599823.009224,48008097155.02101,219107.29387218403,0.6152185122840232,False,False
3,25175920205.56614,25201864582.4075,158748.61047232203,0.7980548500079448,False,False
4,10222991909.315287,10238828534.6657,101169.53216458682,0.9179976891554571,False,True
5,10219734313.031614,10236735207.938435,101163.54086246378,0.9180238195119544,True,False
