,Coefficient
rad,0.12038405805719317
rm,0.04382595489124986
chas,0.017658472763128777
age,0.01211323386748573
indus,-0.0008423475580092575
zn_binary,-0.01810480285277392
nox,-0.033641013291515004
dis,-0.04331451250853364
ptratio,-0.0539654966002206
lstat,-0.18412251812804478
crim,-0.21441530343823262
