MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test,R2_train,R2_test,R2_gap,CV_RMSE_test
28.080496555610416,28.172658041564645,2633.9473950068427,2619.9599337711943,51.321997184509904,51.185544187506636,0.3264409505117517,0.33073372267690004,0.004292772,49.61008063564481
,,,,,,,,,
baseline ,,,,,,,,,
,,,,,,,,,
MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test,R2_train,R2_test,R2_gap,CV_RMSE_test
26.361315311312996,26.55479588675286,2770.2833907921877,2785.7952499118237,52.63348165181729,52.780633284490094,0.29157679798300606,0.2883712486361687,0.003205549,51.15607374714721
,,,,,,,,,
log_transform ,,,,,,,,,
,,,,,,,,,
MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test,R2_train,R2_test,R2_gap,CV_RMSE_test
28.15368507121592,28.22604782726629,2643.828247606083,2633.113413583452,51.41817040313748,51.313871551301325,0.3239141962958192,0.3273736787486241,0.003459482,49.734458152122755
,,,,,,,,,
geo_clustering ,,,,,,,,,
,,,,,,,,,
MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test,R2_train,R2_test,R2_gap,CV_RMSE_test
28.15368507121592,28.22604782726629,2643.828247606083,2633.113413583452,51.41817040313748,51.313871551301325,0.3239141962958192,0.3273736787486241,0.003459482,49.734458152122755
geo_clustering_binning ,,,,,,,,,
,,,,,,,,,
MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test,R2_train,R2_test,R2_gap,CV_RMSE_test
18.520743305828756,18.589633457367206,650.0289165787855,653.3602799640714,25.495664662424186,25.560913128526362,0.31818918313967137,0.3107484183376156,0.007440765,27.61138632239731
strictly_trimming + log_transform + geo_clustering + binning ,,,,,,,,,
