,Coefficient
rm,2.5077960895279494
rad,1.8599759043879147
zn,1.07123619359484
chas,0.6510491086524876
indus,-0.07977122607392434
age,-0.10166919172867525
crim,-0.9650664982931771
nox,-1.9071565799733539
tax,-1.946589422769223
ptratio,-2.096583748507298
dis,-3.061786122265416
lstat,-3.8540489365631854
